mol,sub1,sub2,isolated_vac,isolated_supergeom,supermolecule,fde,fnt
Ti,TiCl$_4$,12TiCl$_{4}$,-821.758,-799.574,-817.458,-800.074,-799.904
V,VOCl$_3$,6C$_6$H$_6$,-1860.112,-1857.298,-1885.444,-1859.095,-1860.217
Cr,CrO$_4^{2-}$,12H$_2$O,-2725.847,-2602.803,-2661.989,-2621.808,-2649.193
Mn,MnO$_4^{-}$,12H$_2$O,-3934.94,-3899.448,-3942.182,-3905.799,-3919.709
Fe,Fe(CO)$_5$,6C$_6$H$_6$,-2330.993,-2263.561,-2283.881,-2265.578,-2266.419
Co,Co(CN)$_6^{3-}$,12H$_2$O,-5774.476,-4676.152,-4677.102,-4646.876,-4649.995
Ni,Ni(CO)$_4$,6C$_6$H$_6$,-1629.882,-1639.242,-1657.426,-1647.834,-1651.339
Cu,Cu(CH$_3$CN)$_4^{+}$,12CH$_3$CN,477.371,454.075,423.907,432.483,429.5
Zn,Zn(H$_2$O)$_6^{2+}$,12H$_2$O,1914.119,1884.438,1870.973,1883.827,1883.998
Nb,NbCl$_6^{-}$,12CH$_3$CN,-317.939,-302.045,-337.454,-314.729,-317.76
Mo,MoO$_4^{2-}$,12H$_2$O,-559.187,-489.687,-542.93,-501.708,-521.176
Tc,TcO$_4^{-}$,12H$_2$O,-1419.128,-1396.433,-1392.139,-1390.249,-1395.231
Ru,Ru(CN)$_6^{4-}$,12H$_2$O,-811.461,16.666,-23.7,20.303,22.715
Pd,PdCl$_6^{2-}$,12H$_2$O,-1580.577,-1377.65,-1309.608,-1341.981,-1310.093
Ag,Ag(H$_2$O)$_4^{+}$,12H$_2$O,4314.951,4139.911,4104.784,4140.683,4141.518
Cd,Cd(CH$_3$)$_2$,6Cd(CH$_3$)$_2$,3456.201,3463.183,3511.099,3478.918,3503.019
Ta,TaCl$_6^{-}$,12CH$_3$CN,3410.547,3422.14,3441.182,3403.698,3398.951
W,WO$_4^{2-}$,12H$_2$O,3001.995,3087.205,2927.594,3054.389,3027.094
Re,ReO$_4^{-}$,12H$_2$O,1892.666,1914.271,1839.843,1904.222,1895.403
Os,OsO$_4$,12CCl$_4$,1218.41,1351.144,1339.586,1353.97,1355.997
Pt,PtCl$_6^{2-}$,12H$_2$O,1885.256,2177.55,2383.744,2256.412,2313.315
Hg,Hg(CH$_3$)$_2$,6Hg(CH$_3$)$_2$,8882.595,8914.545,8922.671,8949.79,8978.066
